Study_ID	ITRDB_Code	Study_Name	Latitude	Longitude	Elevation	Species	FirstYear	LastYear
2925	NC016	Busing - Mt. Collins - PCRU - ITRDB NC016	35.5	-83.5	1770	PCRU	1650	1986
9968	NC017	Ortegren - Weymouth Woods - PIPA - ITRDB NC017	35.15	-79.3667	100	PIPA	1690	2006
10668	NC019	Cook - Boyd Tract - PIPA - ITRDB NC019	35.1333	-79.3667	140	PIPA	1559	1982
13816	NC020	Baker - Bent Creek Experimental Forest - QUPR - ITRDB NC020	35.5	-82.625	790	QUPR	1716	1996
13817	NC021	Baker - Bent Creek Experimental Forest - QUAL - ITRDB NC021	35.5	-82.625	790	QUAL	1733	1996
13818	NC022	Baker - Bent Creek Experimental Forest - QUSP - ITRDB NC022	35.5	-82.625	790	QUSP	1716	1996
13819	NC023	Pederson - Lil Scaly Mountain - QUAL - ITRDB NC023	35.03	-83.26	1280	QUAL	1599	2003
17230	NC024	Walker - North Carolina-HWA - TSCA - ITRDB NC024	35.2833	-82.7167	670	TSCA	1910	2010
19037	NC025	Stahle - Devil's Gut - TADI - ITRDB NC025	35.8333	-76.9333	1	TADI	780	1993
22313	NC026	Stahle - Black River Update - TADI - ITRDB NC026	34.32	-78.22	2	TADI	365	2010
26896	NC027	Stahle - Black River Update 2 - TADI - ITRDB NC027	34.32	-78.22	2	TADI	-604	2017
29272	NC028	Mitchell - Uwharrie National Forest - PIPA - ITRDB NC028	35.35	-80.05	195	PIPA	1740	2018
33892	NC029	Copenheaver - Walker Cove Research Natural Area - ACSH - ITRDB NC029	35.75	-82.35	1354	ACSH	1817	2016
34658	NC030	Soulé - Boiling Springs - PIPA - ITRDB NC030	33.993924	-78.080696	14	PIPA	1720	2017
34659	NC031	Soulé - Catfish Lake - PIPA - ITRDB NC031	34.973835	-77.120105	12	PIPA	1690	2018
34660	NC032	Maxwell - Green Swamp - PIPA - ITRDB NC032	34.091727	-78.291528	19	PIPA	1649	2017
34661	NC033	Knapp - Holly Shelter - PIPA - ITRDB NC033	34.559688	-77.665834	10	PIPA	1695	2016
34662	NC034	Knapp - Millis Road - PIPA - ITRDB NC034	34.748211	-76.997052	11	PIPA	1786	2018
34663	NC035	Knapp - Salters Lake - PIPA - ITRDB NC035	34.694705	-78.596433	24	PIPA	1805	2016
2677	NC1	Barefoot - Hampton Hills - QUAL - ITRDB NC1	35.82	-78.68	108	QUAL	1770	1992
2686	NC10	Barefoot - Union Camp Big Woods - PITA - ITRDB NC10	36.47	-76.97	2	PITA	1795	1985
2682	NC11	Barefoot - Moore's Creek National Battlefield - PITA - ITRDB NC11	34.47	-78.12	2	PITA	1845	1985
2678	NC2	Barefoot - Jeffries Smokehouse - PIPA - ITRDB NC2	35.97	-78.42	109	PIPA	1608	1805
2681	NC3	Barefoot - Lead Mine Hampton Hills - PIEC - ITRDB NC3	35.82	-78.68	108	PIEC	1770	1991
2680	NC4	Barefoot - Kit Springs Branch Nantahala - TSCA - ITRDB NC4	35.28	-83.93	1300	TSCA	1660	1992
2676	NC5	Barefoot - Bluff Mountain Nature Conservancy - TSCR - ITRDB NC5	36.38	-81.53	1359	TSCR	1713	1993
2685	NC6	Barefoot - New Hill Beaver Tree Farm - PITA - ITRDB NC6	35.65	-78.88	88	PITA	1891	1994
2684	NC7	Barefoot - New Hill Beaver Tree Farm - PIPA - ITRDB NC7	35.65	-78.88	88	PIPA	1891	1994
2683	NC8	Barefoot - New Hill Beaver Tree Farm - PIEC - ITRDB NC8	35.65	-78.88	88	PIEC	1891	1992
2687	NC9	Barefoot - Weymouth Woods State Park - PIPA - ITRDB NC9	35.15	-79.37	122	PIPA	1671	1979
3932	ND001	Meko - Burning Coal Vein - PIPO - ITRDB ND001	46.6	-103.47	792	PIPO	1592	1990
3937	ND002	Meko - Cross Ranch Sanger Unit - QUMA - ITRDB ND002	47.15	-101.02	442	QUMA	1788	1990
3950	ND003	Meko - Icelandic State Park Pembina Hills - QUMA - ITRDB ND003	48.83	-97.67	297	QUMA	1830	1992
3953	ND004	Meko - Killdeer-Dvirnak - QUMA - ITRDB ND004	47.42	-102.92	823	QUMA	1777	1990
3956	ND005	Meko - Masonic Island/Bear Island - QUMA - ITRDB ND005	48.98	-100.35	658	QUMA	1676	1990
3969	ND006	Meko - Theodore Roosevelt National Park - JUSC - ITRDB ND006	46.92	-103.48	1630	JUSC	1630	1991
16767	ND007	Wertz - Pembina Golf Course - QUMA - ITRDB ND007	48.9648	-97.2386	236	QUMA	1856	2010
16768	ND008	Wertz - Riverside Park - QUMA - ITRDB ND008	47.9311	-97.0377	254	QUMA	1865	2010
16769	ND009	Wertz - Lincoln Park - QUMA - ITRDB ND009	47.9009	-97.0218	254	QUMA	1854	2010
16770	ND010	Wertz - Oak Grove Park - QUMA - ITRDB ND010	46.8833	-96.7695	268	QUMA	1878	2010
16771	ND011	Wertz - Red River Trail - QUMA - ITRDB ND011	46.8667	-96.7833	275	QUMA	1886	2010
16772	ND012	Wertz - Lindenwood Park - QUMA - ITRDB ND012	46.85	-96.7833	268	QUMA	1870	2010
23657	ND013	Friedman - Theodore Roosevelt National Park North Unit - PPDE - ITRDB ND013	47.5825	-103.3635	589	PPDE	1643	2010
23658	ND014	Friedman - Theodore Roosevelt National Park South Unit - PPDE - ITRDB ND014	46.9525	-103.5195	685	PPDE	1829	2011
27576	ND015	Friedman - Garrison Dam Floodplain - PPDE - ITRDB ND015	46.95	-100.92	500	PPDE	1826	2015
27577	ND016	Sauchyn - Camp Grafton - QUMA - ITRDB ND016	48.06	-98.92	455	QUMA	1725	2008
27578	ND017	Sauchyn - Lake Metigoshe - QUMA - ITRDB ND017	48.99	-100.34	660	QUMA	1748	2008
